,gender,age,workout_frequency (days/week)
298,Male,50,2
299,Male,45,3
300,Male,50,2
301,Female,22,4
302,Male,36,4
303,Female,21,4
304,Male,52,3
305,Female,34,2
306,Male,45,4
307,Male,47,5
308,Male,46,3
309,Female,23,5
310,Female,52,4
311,Male,58,2
312,Male,54,2
313,Female,41,4
314,Female,46,4
315,Female,48,4
316,Male,52,4
317,Female,50,2
318,Male,38,3
319,Female,49,4
320,Male,40,2
321,Female,50,4
322,Female,20,3
323,Female,35,4
324,Female,42,2
325,Female,59,3
326,Male,48,3
327,Female,20,4
328,Female,57,3
329,Female,41,3
330,Male,49,4
331,Female,39,2
332,Male,40,2
333,Female,19,2
334,Female,44,3
335,Male,59,3
336,Female,19,4
337,Male,43,3
338,Male,34,2
339,Female,57,3
340,Male,50,4
341,Female,26,5
342,Female,56,3
343,Male,46,3
344,Male,59,3
345,Male,43,3
346,Male,52,3
347,Female,42,3
348,Female,41,5
349,Male,30,2
350,Female,24,3
351,Female,53,3
352,Female,37,4
353,Female,18,3
354,Male,25,3
355,Male,33,2
356,Female,31,4
357,Male,29,2
358,Male,40,3
359,Male,32,3
360,Female,45,3
361,Female,51,3
362,Female,19,3
363,Male,49,3
364,Female,40,5
365,Female,39,3
366,Male,42,3
367,Female,39,4
368,Female,39,3
369,Male,59,4
370,Male,23,2
371,Male,32,2
372,Female,54,4
373,Female,50,4
374,Female,25,3
375,Male,22,4
376,Male,56,4
377,Female,21,4
378,Female,23,2
379,Male,49,3
380,Male,47,5
381,Male,52,2
382,Male,57,4
383,Female,33,2
384,Male,30,3
385,Female,59,2
386,Female,47,3
387,Female,36,4
388,Male,34,3
389,Male,36,4
390,Male,45,4
391,Male,43,5
392,Female,54,2
393,Male,43,2
394,Male,40,3
395,Female,26,5
396,Male,29,4
397,Female,18,4
398,Female,18,4
399,Female,51,4
400,Female,49,4
401,Female,42,3
402,Female,57,4
403,Female,18,3
404,Female,33,4
405,Male,56,3
406,Male,22,4
407,Male,39,3
408,Male,46,3
409,Female,20,2
410,Male,29,2
411,Female,43,2
412,Male,33,4
413,Male,54,4
414,Male,39,2
415,Female,46,3
416,Male,31,4
417,Female,45,4
418,Female,22,3
419,Male,47,4
420,Male,22,4
421,Male,29,5
422,Female,33,5
423,Male,43,2
424,Female,43,5
425,Female,38,2
426,Male,56,5
427,Male,53,3
428,Female,50,5
429,Female,47,5
430,Female,54,4
431,Male,40,3
432,Female,27,3
433,Male,22,3
434,Female,53,4
435,Female,51,3
436,Male,48,3
437,Female,27,2
438,Male,36,5
439,Male,49,4
440,Female,18,5
441,Male,22,3
442,Male,21,4
443,Female,33,5
444,Male,41,3
445,Male,33,4
446,Male,19,4
447,Female,45,2
448,Male,49,3
449,Female,44,2
450,Female,37,2
451,Male,41,2
452,Male,29,2
453,Male,52,2
454,Female,50,2
455,Male,50,4
456,Male,54,3
457,Male,29,5
458,Male,20,3
459,Male,18,3
460,Female,50,4
461,Female,57,3
462,Male,27,2
463,Male,46,3
464,Male,30,2
465,Male,29,4
466,Female,48,4
467,Male,19,2
468,Female,52,3
469,Female,40,4
470,Male,34,3
471,Female,43,3
472,Female,25,5
473,Female,46,2
474,Female,43,3
475,Male,27,4
476,Male,43,3
477,Female,51,3
478,Male,58,2
479,Male,24,3
480,Male,21,3
481,Male,28,3
482,Male,46,2
483,Female,53,3
484,Male,42,5
485,Male,38,5
486,Male,53,4
487,Male,27,3
488,Female,54,4
489,Female,26,4
490,Female,41,4
491,Female,52,3
492,Male,52,5
493,Female,53,4
494,Male,35,2
495,Male,56,2
496,Male,49,4
497,Male,41,5
498,Male,40,3
499,Female,49,3
500,Female,54,2
501,Female,29,4
502,Female,30,3
503,Male,40,2
504,Female,42,2
505,Male,52,4
506,Female,58,3
507,Male,47,3
508,Male,34,2
509,Female,37,2
510,Male,42,2
511,Male,39,5
512,Female,30,4
513,Male,36,5
514,Female,53,4
515,Female,29,2
516,Female,58,4
517,Male,36,4
518,Male,29,4
519,Male,26,2
520,Female,24,3
521,Male,45,3
522,Female,31,2
523,Female,48,4
524,Male,36,4
525,Female,33,3
526,Male,22,2
527,Male,52,4
528,Male,29,4
529,Male,42,4
530,Male,38,5
531,Female,53,3
532,Female,40,2
533,Female,33,4
534,Male,56,4
535,Male,59,3
536,Male,56,5
537,Female,31,3
538,Male,48,5
539,Female,22,3
540,Female,52,4
541,Male,40,4
542,Male,46,5
543,Female,28,3
544,Male,35,4
545,Female,29,3
546,Male,26,3
547,Male,27,2
548,Female,34,4
549,Male,55,4
550,Female,24,3
551,Male,30,3
552,Female,57,3
553,Female,59,3
554,Male,26,2
555,Female,44,2
556,Male,19,3
557,Male,22,5
558,Male,46,4
559,Female,54,3
560,Female,55,3
561,Male,36,3
562,Male,25,3
563,Female,18,3
564,Male,39,2
565,Male,34,2
566,Female,24,2
567,Male,42,3
568,Female,21,3
569,Male,53,3
570,Female,23,2
571,Male,48,3
572,Male,36,5
573,Female,56,2
574,Male,44,4
575,Female,27,4
576,Male,43,3
577,Female,36,3
578,Female,56,2
579,Female,20,3
580,Female,30,4
581,Male,45,4
582,Male,37,4
583,Female,45,2
584,Female,25,4
585,Female,58,4
586,Male,56,3
587,Male,18,4
588,Male,20,3
589,Male,30,4
590,Female,45,4
591,Female,42,5
592,Female,50,4
593,Male,55,3
594,Male,23,2
595,Male,49,4
596,Female,38,3
597,Female,33,3
598,Male,38,4
599,Female,28,4
600,Male,54,3
601,Male,53,5
602,Female,52,3
603,Male,36,3
604,Female,37,2
605,Male,35,5
606,Female,58,4
607,Female,31,2
608,Female,32,5
609,Male,48,5
610,Male,18,5
611,Female,20,4
612,Female,33,3
613,Male,40,4
614,Male,28,4
615,Male,29,5
616,Female,27,4
617,Male,49,4
618,Male,33,3
619,Female,25,2
620,Male,55,4
621,Male,29,4
622,Male,41,5
623,Female,45,3
624,Female,25,2
625,Female,45,3
626,Female,53,4
627,Female,43,5
628,Female,25,3
629,Female,45,4
630,Male,45,5
631,Male,54,3
632,Female,58,4
633,Male,53,3
634,Male,44,4
635,Female,34,3
636,Male,26,3
637,Male,50,4
638,Male,37,5
639,Male,30,4
640,Male,45,3
641,Female,46,3
642,Female,30,3
643,Female,52,3
644,Male,23,2
645,Female,35,4
646,Male,22,5
647,Male,42,3
648,Male,19,4
649,Male,27,4
650,Female,47,3
651,Female,22,3
652,Male,50,4
653,Female,18,3
654,Male,35,3
655,Female,49,2
656,Female,28,3
657,Male,38,4
658,Female,43,2
659,Male,42,3
660,Female,39,2
661,Male,44,4
662,Male,30,2
663,Female,50,5
664,Female,51,2
665,Male,58,3
666,Female,52,2
667,Female,18,2
668,Male,38,4
669,Male,23,4
670,Female,45,2
671,Male,34,4
672,Male,22,4
673,Male,48,4
674,Female,22,3
675,Female,55,3
676,Male,20,4
677,Female,40,3
678,Male,54,3
679,Female,54,4
680,Male,27,2
681,Male,27,4
682,Female,36,3
683,Male,34,4
684,Female,38,4
685,Female,31,3
686,Male,26,3
687,Male,18,3
688,Female,30,4
689,Male,21,3
690,Male,18,3
691,Male,57,4
692,Male,49,5
693,Male,51,2
694,Female,45,5
695,Female,48,3
696,Male,25,3
697,Male,56,2
698,Male,43,3
699,Female,51,4
700,Male,20,3
701,Female,29,4
702,Female,18,3
703,Female,22,4
704,Male,47,3
705,Female,47,3
706,Male,34,4
707,Female,40,3
708,Male,32,3
709,Female,54,4
710,Male,38,4
711,Female,31,5
712,Male,19,5
713,Male,28,4
714,Male,56,3
715,Male,55,3
716,Female,51,4
717,Female,55,3
718,Male,51,3
719,Female,35,5
720,Male,47,3
721,Male,32,3
722,Female,44,4
723,Male,51,2
724,Male,55,3
725,Female,50,3
726,Male,41,3
727,Male,32,2
728,Male,47,4
729,Male,59,3
730,Female,34,3
731,Female,22,3
732,Female,46,4
733,Male,21,3
734,Male,27,3
735,Female,34,5
736,Male,27,4
737,Male,34,2
738,Male,37,5
739,Male,41,4
740,Female,22,4
741,Female,51,2
742,Female,23,2
743,Male,19,3
744,Female,30,4
745,Female,28,3
746,Male,40,4
747,Male,33,3
748,Female,48,3
749,Female,28,3
750,Female,33,2
751,Female,25,3
752,Male,21,3
753,Female,57,5
754,Female,21,2
755,Male,42,3
756,Female,20,2
757,Male,49,3
758,Male,20,2
759,Male,44,5
760,Female,46,3
761,Female,49,3
762,Male,36,3
763,Female,38,4
764,Female,22,4
765,Male,35,2
766,Male,45,3
767,Female,59,3
768,Male,39,2
769,Female,38,5
770,Female,23,3
771,Female,18,3
772,Female,22,4
773,Male,58,2
774,Male,29,4
775,Male,43,3
776,Male,51,3
777,Female,31,4
778,Female,43,4
779,Male,44,5
780,Female,26,2
781,Female,43,4
782,Female,39,2
783,Male,47,3
784,Male,34,4
785,Male,43,2
786,Female,53,3
787,Male,18,3
788,Male,25,4
789,Male,52,3
790,Male,32,4
791,Male,39,4
792,Male,31,2
793,Female,43,3
794,Female,45,2
795,Male,40,2
796,Male,31,2
797,Female,41,4
798,Female,19,4
799,Male,43,3
800,Male,31,2
801,Male,24,4
802,Male,20,3
803,Female,40,3
804,Male,35,4
805,Male,55,3
806,Male,52,2
807,Male,32,3
808,Female,42,4
809,Female,54,2
810,Female,45,4
811,Male,27,5
812,Male,56,3
813,Female,34,4
814,Male,56,3
815,Male,39,3
816,Female,43,4
817,Female,42,3
818,Female,34,4
819,Female,30,4
820,Male,37,4
821,Male,42,2
822,Female,21,3
823,Male,27,3
824,Female,20,2
825,Female,58,2
826,Male,35,2
827,Female,53,4
828,Male,39,4
829,Male,51,2
830,Male,25,4
831,Male,57,5
832,Female,36,5
833,Male,59,3
834,Female,58,4
835,Female,54,4
836,Female,23,3
837,Female,43,2
838,Male,51,2
839,Male,23,4
840,Female,54,5
841,Female,50,4
842,Male,39,4
843,Female,38,2
844,Male,23,4
845,Female,23,4
846,Male,21,2
847,Female,47,4
848,Female,28,5
849,Male,47,2
850,Female,48,4
851,Female,41,3
852,Male,26,4
853,Female,20,3
854,Male,48,4
855,Male,57,3
856,Female,54,3
857,Female,53,4
858,Female,41,4
859,Female,48,3
860,Female,23,4
861,Female,19,4
862,Female,37,2
863,Male,45,4
864,Female,28,5
865,Male,21,2
866,Female,32,4
867,Female,23,3
868,Male,47,2
869,Female,55,2
870,Female,19,5
871,Male,32,3
872,Female,28,2
873,Female,25,3
874,Female,43,3
875,Male,22,2
876,Female,23,5
877,Female,43,4
878,Female,21,3
879,Female,36,4
880,Male,37,4
881,Male,50,4
882,Female,37,3
883,Female,29,3
884,Male,18,3
885,Male,43,5
886,Female,31,4
887,Male,55,3
888,Female,54,2
889,Male,28,4
890,Male,53,3
891,Male,30,4
892,Male,20,5
893,Female,50,2
894,Male,23,3
895,Male,27,3
896,Female,22,5
897,Male,40,5
898,Male,27,3
899,Female,19,3
900,Male,30,2
901,Female,57,3
902,Female,19,5
903,Female,37,4
904,Female,18,2
905,Male,54,3
906,Female,26,4
907,Male,34,2
908,Male,26,2
909,Male,28,4
910,Male,32,4
911,Male,41,2
912,Male,55,3
913,Male,52,2
914,Male,47,3
915,Male,48,4
916,Male,22,3
917,Female,31,4
918,Female,28,3
919,Female,26,2
920,Male,51,4
921,Female,29,4
922,Female,52,4
923,Female,52,3
924,Male,18,3
925,Male,57,3
926,Male,39,3
927,Male,46,4
928,Female,25,2
929,Female,28,3
930,Female,58,4
931,Female,54,3
932,Male,31,4
933,Male,47,3
934,Male,52,4
935,Female,38,3
936,Male,54,4
937,Male,22,2
938,Female,36,2
939,Female,31,3
940,Male,43,2
941,Male,21,3
942,Male,42,4
943,Male,59,5
944,Male,42,3
945,Male,35,4
946,Female,57,3
947,Female,25,3
948,Female,56,5
949,Male,57,3
950,Female,31,4
951,Male,49,2
952,Male,55,4
953,Female,50,3
954,Male,40,5
955,Male,32,3
956,Female,50,3
957,Female,42,4
958,Female,34,3
959,Male,50,4
960,Female,19,3
961,Female,31,4
962,Male,57,4
963,Female,57,2
964,Female,56,5
965,Female,23,2
966,Male,23,5
967,Male,20,4
968,Male,24,4
969,Male,25,2
970,Female,59,5
971,Male,32,3
972,Male,46,2
